Freq,Data
0,"[ 1.74241625 -7.38372534 14.65433878 -6.38705591 -1.51970438  2.06829001
  0.25746519 -1.29376339  0.54752567  2.24721144 -4.16634098  3.04233909
 -3.79237354]"
1,"[ 0.13256897 -1.55198459 -7.72685957 14.48473243 -5.38354477  0.10580481
 -1.00494195  1.74047352 -1.35734539 -0.11227911 -1.67714243  0.14496288
  5.66241808]"
2,"[-5.87494223  7.47606561 -3.72347256 -4.10514239  1.45071511  3.00760394
 -1.64051512 -0.94270852  0.80782624 -0.60101149  1.13121905  0.43057538
 -4.41829023]"
3,"[ -9.09687214   0.11959909   6.62754928  -4.51412291  -3.07294871
   6.52525962  -1.68892979  -2.55856385  -0.64233827   2.07703157
  10.20737567  -2.06045114 -12.35604992]"
4,"[-2.25526946  5.34863213 -8.09205016  0.48790881  5.21722446  4.41645301
 -5.6230763  -0.83055216  3.69382691 -4.4504403   0.29141983 -2.38780166
  8.61225504]"
5,"[  0.05534654   6.30692052 -16.9276036    8.5087055    2.7714298
   2.98444315  -2.97457339   0.76384204 -10.69881905  10.01450176
   0.81116094   0.94405219  -4.2123938 ]"
6,"[  4.80456496   7.77463751 -25.78019411  13.71597107   4.88066688
   3.9119274   -4.50873684  -0.80304738  -7.4183771    6.60987964
  -0.47321861  -1.19173472   6.33001148]"
7,"[ 2.41355728  3.72185012 -8.15106866 -0.39489234  5.62062923  3.75590509
 -5.13939579  0.37660989  1.55742742 -2.44404294  4.81855282 -0.82791474
 -6.37520106]"
8,"[ -5.08896829   3.78399393  -4.21011313  -1.02670272   2.40142601
   0.82055135  -1.55781379   8.78284689 -28.0551377   16.70367242
  12.0382754   -0.49389726 -24.83920136]"
9,"[ -2.45593585   1.5251367    6.18863584 -10.646752     1.39009528
   6.52132367  -4.99736065   4.72834677  17.5514765  -40.1891693
  20.34644489  -0.71365097   2.43390731]"
10,"[ -8.68032395   5.26405746  -5.95636236  -1.09917429   2.26435749
   4.88580069  -3.08975559   7.47193551 -20.45804107   7.00052599
  15.99769892   1.35813454 -25.13480744]"
11,"[ -2.79377962   6.84810114  -9.76546174   1.43359063  -0.6212047
   6.45097912  -1.31704533  11.89328272 -39.96258449  27.37821308
   6.90698044   0.93513127 -18.56619271]"
12,"[ 16.12067765   1.76463714   3.4061812   -4.08790905   3.90653459
   2.77471352  -9.66298826 -17.16610517  51.15307619 -32.75953299
 -48.32526259 -11.11950581 153.38991585]"
13,"[ -6.51116179  -0.42182135   0.48374342   0.79887991  -2.99571551
   3.1378649    1.49945523  -3.53291176 -15.14623751  46.52755502
  -8.21073391  -5.99527347 -40.91289317]"
14,"[-5.73284561  2.38422693 -1.51394123 -2.62572661  3.4363114   6.40639609
 -5.99872273 -6.13031146  7.25477611  5.743668   -6.40805603  0.54414246
 -3.54115847]"
15,"[ -3.5690264    0.27311913   0.36294231  -2.40468625   1.52404691
   2.51892429  -0.5200703   -3.1494642  -11.94290007  29.30020781
   5.99248119 -10.4408745  -32.54250402]"
16,"[ -2.7818439   -2.06193542  -6.80801453   2.21433801  14.9916096
 -14.89861166   1.75096941   5.07335544  -7.16136044   4.85694063
   1.14434704   0.91739136  -4.71032992]"
17,"[  4.37607583  -2.79216241 -13.46397413  36.14346664 -19.93650484
  -7.51771934   4.07857529   1.57472348  -0.40488749  -3.13738448
   0.52553894  -0.35421743   6.87855231]"
18,"[  0.71180828   0.65397967  -6.42131277  -8.14102471  25.84045123
 -16.53050506  -0.82635366   3.44805037   1.41438684  -2.03957048
   0.9707014   -0.76627249   6.96144769]"
19,"[ -1.86894936   0.55746759 -13.34845424  27.94791535  -2.50914383
 -18.51016971   3.26511602   5.25063834   1.70903859 -10.02258456
   0.34145592  -0.67119354  22.94953473]"
